,BTC,ETH
29026338,8234014000,207273900
29026339,8246314000,207520100
29026340,8243224000,207684300
29026341,8238754000,207425500
29026342,8242534000,207366100
29026343,8239394000,207266800
29026344,8236014000,207274700
29026345,8232844000,207075800
29026346,8238974000,207217800
29026347,8246494000,207408200
29026348,8242944000,207197100
29026349,8244434000,207157300
29026350,8241104000,206956400
29026351,8238164000,206857200
29026352,8247974000,207168900
29026353,8246774000,207027100
29026354,8247974000,207199000
29026355,8243224000,207064400
29026356,8243304000,207046700
29026357,8237984000,207000400
29026358,8230984000,206888200
29026359,8230974000,206883700
29026360,8238234000,207044200
29026361,8233014000,206767200
29026362,8227974000,206737200
29026363,8227964000,206744700
29026364,8229574000,206760600
29026365,8225614000,206611900
29026366,8231414000,206736300
29026367,8240819000,207002500
29026368,8243994000,207036400
29026369,8244394000,206983200
29026370,8243014000,206993500
29026371,8247174000,207101100
29026372,8246454000,207171900
29026373,8247944000,207126600
29026374,8254764000,207271300
29026375,8253424000,207265000
29026376,8256094000,207270400
29026377,8257204000,207404800
29026378,8258614000,207435400
29026379,8257564000,207394200
29026380,8260844000,207321800
29026381,8265574000,207562100
29026382,8266194000,207523100
29026383,8256874000,207318700
29026384,8250964000,207164800
29026385,8253614000,207241000
29026386,8252444000,207073400
29026387,8248494000,207059500
29026388,8245334000,206961400
29026389,8241674000,206826500
29026390,8246354000,206910200
29026391,8251504000,206881600
29026392,8253174000,206775200
29026393,8251694000,206676200
29026394,8239124000,206486600
29026395,8243244000,206654100
29026396,8246714000,206917400
29026397,8243554000,206986800
29026398,8246064000,207004400
29026399,8248374000,207067500
29026400,8245984000,206920600
29026401,8248974000,206894300
29026402,8252134000,207047100
29026403,8255874000,207157100
29026404,8260084000,207268300
29026405,8255984000,207201300
29026406,8256190000,207171600
29026407,8257074000,207189200
29026408,8252134000,206981500
29026409,8250424000,206995600
29026410,8245939000,206916300
29026411,8243594000,206846600
29026412,8241824000,206881700
29026413,8235384000,206787000
29026414,8234114000,206736400
29026415,8233144000,206610500
29026416,8235474000,206767900
29026417,8231364000,206577200
29026418,8238534000,207116600
29026419,8233824000,206909600
29026420,8230364000,206950400
29026421,8221614000,206701900
29026422,8225764000,206918300
29026423,8217454000,206635500
29026424,8219824000,206711000
29026425,8222284000,206747000
29026426,8225154000,206656400
29026427,8216644000,206427600
29026428,8214614000,206401000
29026429,8212754000,206291200
29026430,8214994000,206073400
29026431,8215794000,206261900
29026432,8222554000,206464900
29026433,8225024000,206629500
29026434,8228284000,206723500
29026435,8230794000,206829100
29026436,8224344000,206689500
29026437,8227254000,206739200
29026438,8226794000,206585700
29026439,8225914000,206532000
29026440,8223684000,206400400
29026441,8222654000,206407900
29026442,8225384000,206573800
29026443,8222381000,206477900
29026444,8217614000,206303700
29026445,8213474000,206226100
29026446,8216104000,206198800
29026447,8207264000,205970600
29026448,8206744000,206082900
29026449,8206984000,206155500
29026450,8213984000,206310400
29026451,8219824000,206535700
29026452,8220414000,206407500
29026453,8215314000,206210200
29026454,8210204000,206163300
29026455,8216724000,206245700
29026456,8220764000,206319200
29026457,8222934000,206538400
29026458,8233424000,206658000
29026459,8230355000,206551400
29026460,8222114000,206461500
29026461,8224464000,206606400
29026462,8228484000,206717500
29026463,8220104000,206479400
29026464,8216834000,206419500
29026465,8218664000,206385800
29026466,8217224000,206291900
29026467,8216054000,206297500
29026468,8211964000,206187300
29026469,8211334000,206240800
29026470,8212494000,206090300
29026471,8213484000,206045400
29026472,8213544000,206030600
29026473,8214624000,206017900
29026474,8216984000,206123400
29026475,8214624000,206085300
29026476,8208984000,205884600
